split,label,precision,recall,f1,support
val,dos,0.999347045380346,0.9997822536744693,0.9995646021552194,9185
val,probe,0.998280309544282,0.9961389961389961,0.997208503328323,2331
val,r2l,0.9285714285714286,0.9798994974874372,0.9535452322738386,199
val,u2r,0.0,0.0,0.0,10
test,dos,0.8641317223406776,0.9781442746044516,0.9176100628930818,7458
test,probe,0.7085976039464411,0.8306484923585296,0.7647841795018064,2421
test,r2l,0.9162910495814552,0.4928992033252511,0.6409909909909909,2887
test,u2r,0.0,0.0,0.0,67
