epoch,train_loss,train_acc,val_loss,val_acc
1,0.6908276057000295,0.5340721844293272,0.6895802976365314,0.5358602897400278
2,0.5885463925103297,0.6914285714285714,0.24127335762818472,0.9706290930740227
3,0.11626765455616524,0.9707284580498867,0.07910767286211869,0.9750347291129192
4,0.07597534520226669,0.9750099206349206,0.06846731743029869,0.9784084143679301
5,0.06732414708612773,0.9780154006046863,0.062429204334428126,0.980591387179996
6,0.061108880995853196,0.9798511904761905,0.056906924846533806,0.9817027187934114
7,0.054162191527509146,0.980406746031746,0.050247601358559345,0.9825362175034729
8,0.047332542389228384,0.9815126606198034,0.044405672952125025,0.9824171462591784
9,0.04198741773980923,0.9821924603174603,0.04024077564193063,0.9826949791625322
10,0.03760160282662738,0.9843353174603174,0.03601125489134484,0.9863861877356619
11,0.034091560197574484,0.9871971844293272,0.03312406284482879,0.9880928755705497
12,0.031210641406019594,0.9890277777777777,0.030359630648483963,0.9899186346497321
13,0.02896384552292339,0.9903869047619047,0.029468178022028776,0.9908712046040881
14,0.02736938656098371,0.9913288926681784,0.02758059618888494,0.9914268704107958
15,0.025782893807631862,0.9914880952380952,0.025974956087311877,0.992339749950387
16,0.024580079964288404,0.9919940476190476,0.025392672249814736,0.9917840841436794
17,0.023441445167719472,0.991984126984127,0.024120249629414676,0.9926175828537408
18,0.022673962159525444,0.9925496031746032,0.02384847916217469,0.9925382020242112
19,0.021925306843835004,0.9926190476190476,0.02414948921209454,0.992339749950387
20,0.021651074597725927,0.9928321050642479,0.02278786607889139,0.9924985116094464
