epoch,train_loss,train_acc,val_loss,val_acc
1,0.8303215482450508,0.7825454452981021,0.6231225875343355,0.7833688699360342
2,0.4071593057741685,0.8065713930973409,0.20255046756381745,0.9696375266524521
3,0.10962428209385919,0.9766958216653504,0.07948361313160668,0.9773987206823028
4,0.0737134659925426,0.9787021911873819,0.06757866862954283,0.9796162046908315
5,0.0650390765044326,0.9795787858117326,0.06076477231456332,0.9800426439232409
6,0.0590588812907918,0.9799411664392906,0.05549831005815094,0.9801279317697228
7,0.0541290364439052,0.9800825285416815,0.051035179328545476,0.9801279317697228
8,0.04993274573907821,0.9801543315143247,0.04733152634789131,0.9802132196162047
9,0.0462870817055172,0.9801756480218281,0.04405085721149991,0.9802985074626865
10,0.04295392622421159,0.980218281036835,0.04094619668529347,0.9803837953091684
11,0.03984888350076846,0.9804953956343793,0.03792298700656164,0.981321961620469
12,0.03687008304389147,0.98094042447524,0.03505111773599436,0.981321961620469
13,0.0338876241709391,0.981156207366985,0.0320722650161829,0.981407249466951
14,0.030769597466204224,0.9811722882410666,0.028773976067694343,0.981407249466951
15,0.02716842492797031,0.9840552523874488,0.0247801920604532,0.9939445628997868
16,0.022850187269625778,0.9969304229195088,0.020132584537809806,0.9975266524520255
17,0.01831190242015986,0.997865731432948,0.01587908912349415,0.997867803837953
18,0.014625597416724565,0.9981880968622101,0.012978977393752903,0.997953091684435
19,0.012154170580095753,0.9982094133697135,0.01110756098689999,0.997953091684435
20,0.010571584394551845,0.998230729877217,0.009895952812656497,0.997867803837953
